"dem","slope","aspect","TPI","TRI","ndvi","savi","sample_id","X","Y"
3492,15.9452075544705,163.884102813318,-4.625,17.375,0.738324105739594,0.333245813846588,1,-75.4381343158191,-11.729332409852
4318,32.829389401255,129.750168291618,7.625,37.875,0.344127029180527,0.212920591235161,2,-75.3593059509226,-11.6987524407111
4237,26.5209718186703,82.144658843247,1.5,29,0.305420517921448,0.185493916273117,3,-75.3783334872769,-11.6994319955809
4020,17.8841736235405,336.583063537986,1.5,17.25,0.291400879621506,0.152738213539124,4,-75.3919245846729,-11.7272937452426
4418,6.8656033726645,202.227716608689,-1.625,7.125,0.307373017072678,0.182426765561104,5,-75.4027974625896,-11.6539018193045
4010,19.2888852441345,280.40610088455,13.625,23.375,0.265366584062576,0.155379191040993,6,-75.3878472554541,-11.7218573062843
4172,11.5101513236541,249.434863486934,5.625,12.875,0.302727252244949,0.141618117690086,7,-75.411631675897,-11.7048684345393
4183,19.6236940092784,307.339218831953,4.625,21.125,0.461400926113129,0.310247600078583,8,-75.3824108164957,-11.7238959708937
4412,15.1894107791456,255.812744613207,-7,17,0.317603021860123,0.163695797324181,9,-75.3552286217038,-11.7082662088883
4365,12.4879598428756,240.281576707942,6.5,13.75,0.341930091381073,0.164868578314781,10,-75.3960019138916,-11.7007911053205
4572,11.7737521817305,61.9080704610998,1.75,12,0.305324912071228,0.180092260241508,11,-75.415029450246,-11.6552609290441
4365,14.4832340564244,134.070201657985,2.875,14.125,0.302231878042221,0.137024059891701,12,-75.4075543466782,-11.6919568920132
4259,22.1327446062527,123.515380705918,2,23,0.3697689473629,0.241620525717735,13,-75.3864881457145,-11.6742884653984
4254,21.4199121239607,164.279063123953,-1.125,23.375,0.328201353549957,0.138600990176201,14,-75.4231841086835,-11.696034221232
4113,14.6897794484436,72.2665110177402,-22.75,23.25,0.340054333209991,0.195654302835464,15,-75.3803721518863,-11.6872000079246
3538,19.6085367042145,357.828418730873,-17.75,21.75,0.690142869949341,0.436334222555161,16,-75.4218249989439,-11.7279733001124
4074,25.3103844286473,304.494734467496,-11.125,29.625,0.363885194063187,0.185458764433861,17,-75.3742561580581,-11.7150617575863
4439,8.95196853593947,37.6242170136675,1,9,0.306754618883133,0.19658462703228,18,-75.3973610236312,-11.6831226787058
4339,18.1857297958004,286.171612230833,2.125,19.375,0.353960037231445,0.176090568304062,19,-75.3966814687614,-11.6980728858414
4109,36.8914877610568,253.254596654473,7.25,44.25,0.389654815196991,0.125620543956757,20,-75.4136703405064,-11.7007911053205
4424,25.7059075692695,121.221511219134,3.875,27.125,0.264646232128143,0.13537360727787,21,-75.3565877314434,-11.6939955566226
3517,21.5817054455159,184.649001132421,-4.75,23.25,0.621552467346191,0.235474705696106,22,-75.4333774317305,-11.7286528549822
4335,23.4366068837737,265.157078314229,7.625,25.125,0.400710314512253,0.214457705616951,23,-75.3667810544904,-11.7130230929769
3675,28.0335479205311,339.598150288492,-6.125,30.625,0.496734261512756,0.297688722610474,24,-75.4272614379023,-11.7334097390708
3807,18.8830040201436,165.428473687529,-1.75,20.25,0.412272721529007,0.194115072488785,25,-75.4191067794648,-11.7198186416749
4476,15.6165415390443,111.653415224369,-7.25,16.25,0.335164368152618,0.176327913999557,26,-75.3654219447508,-11.6559404839139
4319,23.8037271598274,250.847534810226,-0.375,25.875,0.393711626529694,0.215902507305145,27,-75.3796925970165,-11.679045349487
3377,0.958014932168346,217.264381449478,-0.375,1.125,0.761651277542114,0.548176527023315,28,-75.4761893885277,-11.7483599462064
4293,6.87782152068923,254.808998351684,-4.625,7.875,0.428129404783249,0.260478109121323,29,-75.3627037252716,-11.6695315813099
4189,12.0641908149266,215.188665803188,-8.75,13.75,0.402777373790741,0.174110636115074,30,-75.4034770174594,-11.6946751114924
4175,28.4985458194912,157.719318392277,11.125,32.125,0.261098980903625,0.103236243128777,31,-75.408233901548,-11.7062275442789
4238,20.5037150361482,297.270338422942,7,23.5,0.335778087377548,0.195687174797058,32,-75.36814016423,-11.7096253186279
4417,9.29863187143636,268.253335059852,3.625,9.875,0.328021049499512,0.17973056435585,33,-75.3960019138916,-11.6912773371434
4306,19.6806683733306,128.894363663076,-5.75,20,0.37487605214119,0.179179146885872,34,-75.4136703405064,-11.6851613433152
4394,19.3588570084749,117.339789119357,12.625,21.375,0.354535609483719,0.206789821386337,35,-75.3864881457145,-11.6695315813099
3412,2.72903168597642,192.263612035492,-0.625,3.125,0.651142239570618,0.412711501121521,36,-75.4564822973036,-11.7415643975084
4430,0.734567429664138,292.90734868514,3.125,3.875,0.305993556976318,0.17629462480545,37,-75.394642804152,-11.6905977822736
