"sample_id","stratum_id","is_prior","X","Y"
1,1,TRUE,448854.537897104,8701219.93190067
2,2,TRUE,450811.869198774,8702251.43953906
3,3,TRUE,452792.338919715,8702962.93607892
4,4,TRUE,456169.347089932,8703470.66602653
5,5,TRUE,454048.473828223,8706232.54764263
6,6,TRUE,456208.367263619,8707698.16007624
7,7,TRUE,459612.269524742,8705303.46233369
8,8,TRUE,457690.811858081,8710602.29898227
9,9,TRUE,459495.913837767,8708159.67435006
10,10,TRUE,462920.192298188,8707364.20416355
11,11,TRUE,455527.220930539,8711513.29798648
12,12,TRUE,460484.855272471,8709737.66746848
13,13,FALSE,456999.710020068,8710660.16219413
14,14,FALSE,459576.714557201,8706124.97562809
15,15,FALSE,455593.075676053,8711978.33188233
16,16,FALSE,452527.929898221,8703993.54361946
17,17,FALSE,458194.548296663,8709460.60353686
18,18,FALSE,454103.33616547,8704026.25101601
19,19,FALSE,456880.568904978,8706665.55620999
20,20,FALSE,457141.61968088,8707961.84638087
21,21,FALSE,461162.180500692,8710465.26866855
22,22,FALSE,461090.340186519,8705751.07405894
23,23,FALSE,454235.102682308,8703175.4328281
24,24,FALSE,451639.189679646,8703633.80011317
25,25,FALSE,459718.616959949,8709591.44860952
26,26,FALSE,459729.532529392,8704840.05716804
27,27,FALSE,459002.867477954,8710241.70467486
28,28,FALSE,459498.746204042,8707646.91788175
29,29,FALSE,458003.625063874,8707689.95641269
30,30,FALSE,459802.600014637,8708951.43981345
31,31,FALSE,448016.398813284,8700924.59043022
32,32,FALSE,453279.491358656,8705268.69598636
33,33,FALSE,462674.541614029,8709002.06561398
34,34,FALSE,458551.542096528,8704086.21457636
35,35,FALSE,459876.736780155,8705281.66992033
36,36,FALSE,455460.663496109,8710239.26392641
37,37,FALSE,457457.572751694,8705713.60699016
38,38,FALSE,460352.833821213,8711297.17340991
39,39,FALSE,449373.256073851,8701165.14878916
40,40,FALSE,458000.286183809,8705037.45469274
41,41,FALSE,456319.716551258,8703151.78242764
42,42,FALSE,460236.468585564,8705358.33407558
43,43,FALSE,455680.848590831,8703301.6706799
44,44,FALSE,455282.784707796,8708464.21523704
45,45,FALSE,450593.423672996,8701746.27291471
46,46,FALSE,455154.934328696,8705281.16312603
47,47,FALSE,453683.157622267,8703412.24398074
48,48,FALSE,451846.99982363,8702497.20985347
49,49,FALSE,456513.187496358,8712330.2716761
50,50,FALSE,452999.007262447,8703769.58880696
51,51,FALSE,459123.97831986,8705564.12327437
52,52,FALSE,454989.056657351,8703392.96453341
53,53,FALSE,463760.808261101,8708549.47953791
54,54,FALSE,453205.972399517,8702373.34638971
55,55,FALSE,452284.668636366,8703333.26305157
56,56,FALSE,461455.232079301,8709233.31397401
57,57,FALSE,461858.210331262,8708052.63683945
58,58,FALSE,457571.001604066,8704135.95707528
59,59,FALSE,460487.877353797,8706116.44014522
60,60,FALSE,458108.137309708,8708399.91891025
61,61,FALSE,456264.851656378,8704600.05428512
62,62,FALSE,458475.801410602,8705775.67740594
63,63,FALSE,461248.009522906,8707620.58190468
64,64,FALSE,461044.390837057,8708152.15281021
65,65,FALSE,449951.677296484,8701227.31555608
66,66,FALSE,457556.076656311,8702907.64926163
67,67,FALSE,462061.88362121,8705749.57244622
68,68,FALSE,460752.477322832,8705119.49574576
69,69,FALSE,461266.028875636,8709746.86552682
70,70,FALSE,455377.561822804,8709356.87524987
71,71,FALSE,455027.728960518,8711038.85311756
72,72,FALSE,460676.796041366,8707476.42708284
73,73,FALSE,453697.900729046,8702751.75279704
74,74,FALSE,460036.537674121,8710436.43539104
75,75,FALSE,459025.79934653,8704665.40805696
76,76,FALSE,463285.998316667,8706456.53171832
77,77,FALSE,449908.922286824,8701709.41514776
78,78,FALSE,456167.37111454,8706080.74630775
79,79,FALSE,455070.97540707,8706654.74459835
80,80,FALSE,454403.358388424,8704462.69033875
81,81,FALSE,450587.972440237,8702905.34128001
82,82,FALSE,459015.86220348,8709064.38254217
83,83,FALSE,462258.380372408,8706853.10457514
84,84,FALSE,456294.573268378,8708908.3370428
85,85,FALSE,462049.87071939,8708958.2538544
86,86,FALSE,458898.050891882,8707260.19485008
87,87,FALSE,453917.994251676,8706999.55778381
88,88,FALSE,462745.650242544,8709718.96459356
89,89,FALSE,454905.96089385,8707878.6556853
90,90,FALSE,460752.477322832,8708613.72546091
91,91,FALSE,460504.948319541,8706779.36264828
92,92,FALSE,460047.372216007,8708247.34199963
93,93,FALSE,453479.589340202,8704316.10983481
94,94,FALSE,456914.355191347,8702530.11475846
95,95,FALSE,458113.172128853,8706713.25449663
96,96,FALSE,455006.877995216,8704283.14035976
97,97,FALSE,453717.207178399,8705005.20156558
98,98,FALSE,457110.43018207,8709494.90000135
99,99,FALSE,456916.219262319,8703295.31589249
100,100,FALSE,462999.748027585,8708270.30828026
